method,batch,lr,train_mse_mu,train_mse_sd,test_mse_mu,test_mse_sd
MOM,16,0.01,1.759437062062728,0.3078176367328381,3.836207040368882,0.32554658866135233
SGD,16,0.01,1.9003686091780096,0.19810858553380303,3.8508148481572517,0.41601575936965285
CG,0,0.0,2.7019741654340983,0.8738820823703679,5.052315050403472,0.9501655737592195
