n_particles,w,c1,c2,penalty_method,rho,C,alpha,best_position,objective_value,inequality_0,inequality_1,violated
59,0.4,1.7684481866009323,2.0,ADAPTIVE,NA,0.5973925010673935,1.0,"[1.5395943105357246, 0.3761226666864037]",-0.458396104490815,0.17092368230608812,-13.084283022777871,True
51,0.4309751484083092,1.6602809326147363,2.0,ADAPTIVE,NA,0.7085869184942359,1.2843173185014791,"[1.64983341021125, 0.3122810660506192]",-0.47360354043288705,0.23478826385330231,-13.037885523738131,True
54,0.4146248478456473,1.6872455422723096,2.0,ADAPTIVE,NA,0.9046668464059364,1.4496104367075489,"[1.5847185174627851, 0.3944534886992598]",-0.4321950611990706,0.12490225218048556,-13.020827993837955,True
55,0.4216741208738549,1.6718067192197072,2.228497585289644,ADAPTIVE,NA,0.5472182031419407,1.1314417781051795,"[1.3321197402523832, 0.06293281950921048]",-0.6620419274786716,0.6661659488220404,-13.604947440238407,True
58,0.41213280041422895,1.693424512838879,2.0,ADAPTIVE,NA,0.5881886241697617,1.149618204331302,"[1.4898109891377924, 0.4389357606217688]",-0.40938222697495175,0.09606868030013338,-13.071253250240439,True
10,0.4,1.9989734347802806,2.3285820570458777,ADAPTIVE,NA,0.5,1.0,"[1.2989975966651568, 0.39050094769257915]",-0.4343824272094702,0.24274020745187364,-13.310501455642264,True
60,0.4,1.5731307436819437,2.3830030880576363,STATIC,8098.132618003252,NA,NA,"[1.6006967022584213, 0.4685230748783072]",-0.3649992669921862,3.665911031824898e-05,-12.930780222863271,True
60,0.4,1.6994535802390418,2.474255356000497,STATIC,4412.045465963085,NA,NA,"[1.6009840072418906, 0.46842362966098466]",-0.365012387741528,6.126029856545756e-05,-12.930592363097125,True
60,0.4,1.5763176700073744,2.0,ADAPTIVE,NA,0.5,1.0,"[1.4608692109420118, 0.2616748818453185]",-0.5629110214111939,0.3677272218352854,-13.27745590721267,True
10,0.4,1.5,2.5,ADAPTIVE,NA,0.5,1.0,"[1.559664398011876, 0.4387854832092372]",-0.3999786664636152,0.06564190347411492,-13.001550118778887,True
59,0.4121377280414229,1.7585635475128454,2.218983128864918,ADAPTIVE,NA,0.5514608543899583,1.92896709048873,"[1.1697655103506488, 0.11629509417524941]",-0.5890312309655952,0.6139620098108126,-13.713939395474101,True
60,0.4,1.9068662952212123,2.4800647058511984,ADAPTIVE,NA,0.5,1.9666252419377577,"[1.4814286796847742, 0.22691645163286145]",-0.5846953088597464,0.41383946065877614,-13.291654868682365,True
60,0.9377568497402696,1.9202527045716304,2.3647225910478835,ADAPTIVE,NA,0.5064872743011155,1.9746739004382534,"[1.1351667918065234, 0.05425160734886081]",-0.5895347567882606,0.6884153769354465,-13.810581600844616,True
10,0.4020184679734913,1.7771704775802957,2.214574332152395,STATIC,970.0896617547033,NA,NA,"[1.606007877245618, 0.4668733341267225]",-0.36505438060446926,0.00019774771655822754,-12.92711878862766,True
60,0.4,2.0,2.5,ADAPTIVE,NA,0.5,2.0,"[1.6865745956185807, 0.0685514703337764]",-0.5707798159179133,0.634382831642752,-13.244873934047643,True
